Gene,C,Z,Pval,FDR
Gp49a,0.07495261384220459,10.949186,3.3523586403380524e-28,2.2760750768610984e-27
St3gal5,0.04636183606681289,10.947432,3.41792465319575e-28,2.31045736381966e-27
Slc7a8,0.0776160277774941,10.888809,6.516662035772741e-28,4.3859968832070445e-27
Ddt,0.05927695040935581,10.8792925,7.234077926098179e-28,4.8477717011255335e-27
Nkx2-3,0.03479024287012559,10.876737,7.439745123169585e-28,4.964105797701085e-27
Plxnb2,0.05858364950861453,10.847592,1.0237383486324372e-27,6.801489114519368e-27
Trim34a,0.04415872690351108,10.833502,1.1942145405100548e-27,7.900188498758825e-27
Mpl,0.04466480362540518,10.825732,1.2999632598076649e-27,8.563162239073468e-27
Oasl2,0.05275585543359584,10.775957,2.235538224229676e-27,1.4663615131811605e-26
Igfbp7,0.07794279997287354,10.653836,8.366213388666759e-27,5.464514061458288e-26
Sept8,0.051193444668252444,10.64215,9.48504402315757e-27,6.169263927667193e-26
Fstl1,0.05809160481092292,10.499216,4.355021632258209e-26,2.820742044659292e-25
Zmpste24,0.05705800790320148,10.497713,4.424907383839552e-26,2.8540652625765113e-25
Hes1,0.034274180566443456,10.468821,6.006518884480305e-26,3.8581291423964783e-25
Vldlr,0.040544106112861404,10.432919,8.770798352508241e-26,5.6104115081333705e-25
Sept1,0.044555836969639676,10.379517,1.5366367331340474e-25,9.788945114779857e-25
5830418P13Rik,0.014847569543956383,10.305174,3.338541181954586e-25,2.1180580941252866e-24
Runx3,0.05575661689053868,10.297149,3.6290377221395434e-25,2.292959344437556e-24
Trafd1,0.04666865562139873,10.274957,4.569273058425432e-25,2.875298656277467e-24
Ceacam1,0.12882165445899638,10.258043,5.444539900382693e-25,3.4122055731953074e-24
Ctsh,0.14464323262264878,10.161255,1.4762576075532144e-24,9.21470474392087e-24
Rnf149,0.06842674039839115,10.097006,2.8477298343044558e-24,1.770395896989276e-23
Il17re,0.030662705769002693,10.05531,4.352340788055833e-24,2.694969415964172e-23
Ifi203,0.047765806463085196,9.907941,1.9224425459012916e-23,1.1856338888666133e-22
Ero1l,0.05825707535567717,9.886958,2.3710928294176975e-23,1.4565284523565854e-22
Ndrg2,0.05071287480780916,9.879007,2.5669468878688653e-23,1.5706062381110685e-22
Ccl22,0.04306989408316724,9.877689,2.6009258373840928e-23,1.5851311796340849e-22
Cd69,0.049514391379048193,9.773539,7.312635599071574e-23,4.439199963671685e-22
Col4a1,0.04122970931053638,9.7471895,9.482290849299907e-23,5.733822747936037e-22
Bmyc,0.05185812905678533,9.721553,1.2201557311787295e-22,7.349420513092114e-22
Ctla2b,0.044067787134192356,9.670583,2.0104092486656113e-22,1.2062455491993668e-21
Ptprf,0.034734530341635615,9.627396,3.063123167879292e-22,1.8307778625008277e-21
Tnfrsf1b,0.051172031536850494,9.587485,4.512898586296638e-22,2.686910389071998e-21
Plod2,0.038931207446607004,9.569719,5.359814988344119e-22,3.1789247517075462e-21
Ckap2l,0.059528334952704896,9.565975,5.557430626722967e-22,3.2835506145676156e-21
1700097N02Rik,0.04175461304080623,9.439988,1.8641080584136847e-21,1.0972012450282828e-20
Cldn11,0.03442963144388145,9.427455,2.1007985548652008e-21,1.2318318798982315e-20
Nfkb2,0.0487676549099047,9.33685,4.962128246920792e-21,2.898631896691844e-20
Rassf4,0.08477570367779858,9.32385,5.6096979529943695e-21,3.264591139562137e-20
