,pvalue,R2
Spint1,0,0.281091978278727
4921522P10Rik,0,0.281031631152456
Fam178b,0,0.281021699732378
B3gnt5,0,0.280867462373445
Pdk4,0,0.280530072067254
Ifitm6,0,0.280289619545488
Asic2,0,0.280205984599778
Thy1,0,0.279850758051749
Neo1,0,0.279617572794115
Pdxk,0,0.279161944832763
Rbakdn,0,0.279107963406832
Nlrp6,0,0.278373844029475
Cdkn2b,0,0.278173500519481
Sqrdl,0,0.278051718021565
Car8,0,0.277809199467538
Syt5,0,0.277779638716508
Il2ra,0,0.277150538868401
Fth1,0,0.27708894673668
Hsf2bp,0,0.277000200860114
Gm44293,0,0.276484572730277
Lrp1,0,0.276357888010489
Gimap5,0,0.276325513007977
Gm27204,0,0.276307989628297
Bnip3,0,0.276033240353293
Drd5,0,0.275828124412495
Gsx2,0,0.275467378109694
Insm1,0,0.275282127543584
Ociad2,0,0.27461268659921
Bmp15,0,0.273957448193684
Btg1,0,0.273634256815297
Tob1,0,0.272884724064503
Lor,0,0.272880271126191
Ptprh,0,0.272880271126191
Gm9750,0,0.27241001358368
Lgals7,0,0.27224853934663
Rrm2,0,0.272099980529002
Adgrg5,0,0.272016627970151
Rgs9,0,0.271919251892955
Gnai1,0,0.271669473871887
1700110I01Rik,0,0.271609374471875
Slc7a10,0,0.270389005382071
Tmem225,0,0.27034909505128
Tmem200c,0,0.27034814902557
Gm17207,0,0.270301876408626
Clic3,0,0.27026170916876
4930415L06Rik,0,0.27008162418106
Snn,0,0.27007926163938
Zbed5,0,0.269825940890116
Itgb3,0,0.269680245453523
Ctsa,0,0.269629598431077
Gm42650,0,0.26936958892647
Pglyrp2,0,0.269217637341315
Gm15731,0,0.269025689047129
Tigd4,0,0.269003522915808
BC027072,0,0.268880504220529
Gimap4,0,0.268769336585032
Mov10,0,0.26829294587797
Akap4,0,0.26822591007077
Rnf43,0,0.268175140087879
4930455D15Rik,0,0.268140016134958
Gm19705,0,0.268012459178295
Camp,0,0.26779773223119
Cd38,0,0.267523382969381
Id3,0,0.267517962676782
Olfr628,0,0.267463557091589
Eno2,0,0.266777099744331
Mdp1,0,0.266625988693068
Mllt3,0,0.266521036055704
Cxcl3,0,0.266317272473425
Sgca,0,0.266064728782151
Tcea3,0,0.26598272504464
Ifi47,0,0.265898154331147
Meis3,0,0.265678172805882
F730016J06Rik,0,0.265540528010217
Faah,0,0.265299681162777
Tcf4,0,0.264932291663379
Cyp26b1,0,0.264764462078919
Zbtb20,0,0.264463719880249
Ifnlr1,0,0.263894475023079
Klhdc4,0,0.263753806916879
Fbxw15,0,0.263743355183422
Radil,0,0.263709685161516
Slc16a4,0,0.263639571662215
Med9os,0,0.263335126939006
Gm6994,0,0.26327005946177
Irs2,0,0.263191934470123
Cbarp,0,0.263079248956792
Rora,0,0.263053595325206
Usp35,0,0.262907946829638
Tex26,0,0.262679060657001
Ccl4,0,0.262640323801238
A930029G22Rik,0,0.261753777864594
Abca15,0,0.26161803080554
Csn1s2a,0,0.261507518097678
Myo15,0,0.261089529562979
Ms4a6c,0,0.260902444403678
Satb1,0,0.260850977470321
Rapgef4os3,0,0.260597296347631
Snap47,0,0.260417331989712
Mmp14,0,0.26013943627026
Cyb5r2,0,0.259476616176836
Nav3,0,0.259310298288409
Pramel6,0,0.258713812340568
Klre1,0,0.258162775028649
1700074H08Rik,0,0.258039083982911
Acox2,0,0.257515049938968
AY512931,0,0.257402227416378
Gm16054,0,0.257098345484798
Tmem132e,0,0.256829977312848
Ctxn2,0,0.256786868762213
Gm15322,0,0.256786868762212
Ybx2,0,0.256245233585034
Gm10505,0,0.25603768716821
Ctsl,0,0.255988385861862
Cyp4f16,0,0.255663345552518
P3h4,0,0.255471574884182
Ssu2,0,0.255471574884182
Pax9,0,0.255113713233009
Oit3,0,0.255031894601939
Vax2os,0,0.254999390419287
Efnb2,0,0.254858404322323
Fbn1,0,0.254728563996666
Ccng2,0,0.25447801959232
Zfp184,0,0.25424141870536
Tex13a,0,0.254202517704581
Gpr17,0,0.254202517704581
Atp2c2,0,0.253540495338905
Glb1,0,0.253311820278482
Spock2,0,0.253187864030187
A930001A20Rik,0,0.2530683700387
Espn,0,0.252958990969764
Gadd45a,0,0.252954541473456
Tgfbi,0,0.252828876295863
5033428I22Rik,0,0.252716240178988
Ddit4l,0,0.252673585547885
Myl10,0,0.252553562742956
H2-T3,0,0.251917308614957
A4gnt,0,0.251913375812699
Ighv2-9,0,0.251835781208765
Tunar,0,0.251751457058748
Zkscan2,0,0.251719225600595
1700027A07Rik,0,0.251658159868015
Ms4a4b,0,0.251572807766238
Gcnt3,0,0.251469359659642
Zfp526,0,0.251438925925433
Trp53bp2,0,0.251298586794772
Il24,0,0.251206601961072
1700044K03Rik,0,0.25114400742355
Gm14169,0,0.25114400742355
Crisp1,0,0.25100035756013
Fgd5,0,0.250625821739933
Catsper1,0,0.250549920457191
Ccdc80,0,0.25042295465937
Ppp1r42,0,0.249758120741077
Sacs,0,0.249496850951348
Adgre4,0,0.249427730504494
Kdm4d,0,0.249089776702927
Mirt1,0,0.249068511331384
Vcan,0,0.249014552848063
1700069P05Rik,0,0.248947184005171
Olfr543,0,0.248808595077678
1700010N08Rik,0,0.248808595077678
Mkrn3,0,0.248799051826665
Sorbs2os,0,0.24877676047677
Sept3,0,0.248769810767822
1700030M09Rik,0,0.248668221038328
Acod1,0,0.248660918927249
Zbtb4,0,0.248501480395398
Gm15408,0,0.248467289140156
Mndal,0,0.248458153026412
Gm5111,0,0.248436511454464
Nlgn2,0,0.248416726369144
Col1a2,0,0.248208535197218
Fcrla,0,0.248036845676133
Olfm1,0,0.247965236603098
Mtss1l,0,0.246718862337339
2010007H06Rik,0,0.246622893734539
Dnase2b,0,0.246452463719132
Ccl1,0,0.246290939688075
Zmpste24,0,0.24617922757301
Enox1,0,0.246079756529811
Pacsin1,0,0.246049327355547
A930015D03Rik,0,0.245976872701705
Lcn11,0,0.24586052288441
Cabp4,0,0.24480024797127
Klf5,0,0.244283300032399
Gstt3,0,0.244242959139983
Olfr1154,0,0.244077183448478
Gm10701,0,0.243904133809136
Ccpg1,0,0.243521675318171
Trbv2,0,0.24331664530507
Pou4f2,0,0.243232229876974
Chrna1,0,0.243211520211835
Gabrr3,0,0.243121554029684
Chil1,0,0.243070787287075
Nkx2-3,0,0.243033900254184
Gm26871,0,0.242953437048645
Gm11772,0,0.242787093773155
1700019B21Rik,0,0.242529141903837
Ccl7,0,0.242317700921093
Ugt2a2,0,0.242268916879284
Crhr2,0,0.242268916879284
Cfap77,0,0.242213513297169
Ak4,0,0.24217028966371
Man2b1,0,0.242153088702198
Igfbp5,0,0.242125274839571
Il1rn,0,0.241624582035067
Ltb,0,0.241602223567796
Trp53inp2,0,0.241343760740842
Gm13112,0,0.241302942181782
Tmem233,0,0.241133159256838
Zfp78,0,0.240809605972577
Klhl35,0,0.240582828465384
Gimap1os,0,0.240458900354812
Carhsp1,0,0.240363839044061
Krba1,0,0.240288490406338
Smad9,0,0.239996025379548
Platr19,0,0.239996025379547
Blnk,0,0.239976450342058
4931415C17Rik,0,0.239959557190519
P2ry13,0,0.239676562792186
Cacng5,0,0.239635385172765
Rnf150,0,0.239335747036906
Cdh17,0,0.2391348440976
Gm44109,0,0.238897113314868
Maneal,0,0.238782111502684
E030042O20Rik,0,0.238727725412588
Sox15,0,0.238518885945848
H2afy2,0,0.238300616770198
Hcrtr1,0,0.238088691282169
Gpr45,0,0.238009371880943
Gm20535,0,0.237786891515816
C130026I21Rik,0,0.237604159116573
Bex4,0,0.237567572303753
Gjc2,0,0.237559803721365
Gm42806,0,0.237410753102586
1810019N24Rik,0,0.236883355369335
Alb,0,0.236868652937358
Hunk,0,0.236822628967457
Phf11b,0,0.236260108837362
Gm14488,0,0.236154030321218
AI847159,0,0.236087523699095
Gm10392,0,0.236005982502504
Rprm,0,0.235543614104217
Tnfrsf9,0,0.235377315994229
Hottip,0,0.235257991015025
Nhlh1,0,0.23525699943699
Nxph1,0,0.235215403179694
Ypel3,0,0.235037421133131
Pak7,0,0.234922175913803
Lmo4,0,0.234876989332833
Gm5414,0,0.23482570892992
Plekhm3,0,0.23467709405125
Ear2,0,0.234475722519864
Gm9946,0,0.234282253688966
Tas2r134,0,0.233818703862997
Pnrc1,0,0.233769848882973
C5ar1,0,0.233754142688586
Ccdc157,0,0.233620812210496
Gcsam,0,0.233457196486864
Map6,0,0.233419764199056
Olfr204,0,0.233189595838106
Gabrr2,0,0.233094387481517
Rpp25,0,0.233071775643873
