,gene,score_001_15,score_005_50,rank_1,rank_2
1000,Erg,3.782014e-05,5.9083442e-05,1948.0,1951.0
1001,Maged2,0.0046106814,0.005483262,83.0,262.0
1002,Prr33,0.00023022362,0.00022242185,1786.0,1862.0
1003,Klhl13,0.0033816276,0.005078833,416.0,350.0
1004,Nsg1,0.0026124185,0.0043257982,695.0,543.0
1005,Fbxo47,0.0002559044,0.00030875357,1764.0,1795.0
1006,Ifi27,0.0039601447,0.006129772,209.0,148.0
1007,Tbx1,0.0012336366,0.0016424624,1171.0,1183.0
1008,Scn3b,0.0013950185,0.0021332707,1104.0,1059.0
1009,Hist1h4m,0.00071224594,0.0006655804,1426.0,1566.0
1010,Klrb1f,0.0013938057,0.00095122965,1105.0,1429.0
1011,Col6a1,0.0040873513,0.0081154695,178.0,39.0
1012,Arl9,0.0001224613,0.00026455565,1905.0,1828.0
1013,Plpp3,0.0038459112,0.005354005,250.0,289.0
1014,Hmgn5,0.0037999768,0.0064536673,264.0,109.0
1015,Olfml3,0.002025597,0.0026479817,892.0,932.0
1016,Ltb4r1,0.0007212929,0.0008733539,1421.0,1471.0
1017,Matn2,0.0023696257,0.003440479,771.0,742.0
1018,Phlda1,0.0034626066,0.004930419,392.0,381.0
1019,Nek10,0.0001974293,0.000226589,1823.0,1859.0
1020,Arhgef26,0.0018504235,0.0028046505,941.0,900.0
